Date,Open,High,Low,Close,Adj Close,Volume
6/15/2018,66.150002,66.870003,65.837502,66.315002,65.808456,43226000
6/18/2018,65.870003,66.449997,65.595001,66.272499,65.766289,35626800
6/19/2018,65.230003,65.910004,63.755001,65.042503,64.545692,59493200
6/20/2018,65.457497,66.112503,65.07,65.577499,65.076599,36978000
6/21/2018,65.900002,66.084999,64.199997,64.277496,63.786522,35951600
6/22/2018,64.487503,64.622498,62.5825,62.737499,62.258286,43416000
6/25/2018,61.662498,61.700001,58.884998,59.779999,59.323376,66581600
6/26/2018,60.924999,61.412498,59.977501,60.497501,60.035397,47888400
6/27/2018,60.9375,61.607498,58.875,58.93,58.479874,45389200
6/28/2018,58.830002,60.334999,58.752499,60.215,59.755043,33801200
6/29/2018,60.872501,61,59.212502,59.224998,58.772614,39230000
7/2/2018,58.522499,60.5975,58.314999,60.560001,60.097416,35757200
7/3/2018,60.91,60.970001,59.125,59.209999,58.757729,22273200
7/5/2018,59.767502,60.732498,59.375,60.682499,60.218979,30621600
7/6/2018,60.435001,61.9175,60.220001,61.8325,61.360195,29635200
7/9/2018,62.5825,62.68,61.517502,62.3125,61.836529,30388000
7/10/2018,62.4375,63.535,62.029999,63.3125,62.828888,36001600
7/11/2018,62.375,62.724998,61.775002,61.8825,61.409813,36750800
7/12/2018,62.34,63.2925,62.240002,62.807499,62.327747,34550800
7/13/2018,62.994999,62.994999,61.904999,62.330002,61.853897,24698800
7/16/2018,62.049999,62.584999,61.924999,62.049999,61.576031,19703600
7/17/2018,61.552502,63.575001,61.294998,63.422501,62.938049,36213600
7/18/2018,63.3475,63.487499,62.41,62.924999,62.444351,27764000
7/19/2018,62.735001,63.3475,62.5825,63.0075,62.52623,23575200
7/20/2018,62.982498,63.375,62.612499,62.7225,62.243401,22235200
7/23/2018,62.455002,62.4725,60.82,62.352501,61.876228,30158400
7/24/2018,62.837502,63.712502,62,62.177502,61.702564,35462000
7/25/2018,62.272499,63.095001,61.6875,62.967499,62.486526,31911200
7/26/2018,62.764999,64.082497,62.595001,63.709999,63.223362,32512400
7/27/2018,64.080002,64.150002,62.459999,63.005001,62.523739,29542000
7/30/2018,63.147499,63.2075,60.68,61.032501,60.566307,34034000
7/31/2018,60.927502,61.970001,60.535,61.215,60.747414,28398800
8/1/2018,61.532501,62.09,60.9725,61.6175,61.146835,28355600
8/2/2018,60.897499,62.695,60.302502,62.654999,62.176414,26966800
8/3/2018,62.9025,63.264999,62.732498,63.025002,62.543587,21428800
8/6/2018,62.897499,63.5425,62.427502,63.5075,63.022408,20750800
8/7/2018,64,64.425003,63.73,64.237503,63.74683,25813200
8/8/2018,64.25,65.059998,63.897499,64.605003,64.111526,26210000
8/9/2018,64.785004,64.8125,64.037498,64.114998,63.625259,20428000
8/10/2018,63.287498,64.025002,63.174999,63.697498,63.210949,25639600
8/13/2018,63.785,65.25,63.767502,64.029999,63.540913,37520800
8/14/2018,65.095001,65.5,64.254997,65.357498,64.858276,46622000
8/15/2018,65.567497,65.910004,63.974998,64.769997,64.275253,59113600
8/16/2018,65.474998,65.5,63.752499,64.360001,63.868389,80126000
8/17/2018,63.235001,63.2425,60.932499,61.205002,60.737492,114318800
8/20/2018,60.794998,63.299999,59.68,61.959999,61.486729,85438800
8/21/2018,62.125,63.375,61.924999,63.330002,62.846264,67398800
8/22/2018,63,65.754997,62.965,65.705002,65.20311,74985600
8/23/2018,65.315002,67.370003,65.175003,66.709999,66.200447,72068400
8/24/2018,66.794998,68.202499,66.75,68.055,67.535164,53151200
8/27/2018,68.355003,69.724998,68.037498,68.974998,68.448135,50577600
8/28/2018,68.915001,69.144997,67.3825,68.595001,68.07103,47538400
8/29/2018,68.480003,69.875,68.269997,69.622498,69.128479,42010800
8/30/2018,69.307503,70.43,69.080002,69.452499,68.959694,34660800
8/31/2018,69.25,70.300003,69.150002,70.169998,69.672089,30659200
9/4/2018,70.037498,71.305,69.75,70.925003,70.421745,39172000
9/5/2018,70.747498,71.105003,68.787498,69.605003,69.111099,39315600
9/6/2018,69.440002,69.464996,67.847504,68.18,67.69622,32279600
9/7/2018,67.25,69.232498,66.797501,67.964996,67.482735,29542000
9/10/2018,68.192497,68.982498,67.75,68.682503,68.19516,22014000
9/11/2018,68.214996,69.099998,68.004997,68.199997,67.716087,24311200
9/12/2018,67.797501,67.995003,65.480003,67.050003,66.574242,41909200
9/13/2018,67.714996,68.75,67.540001,67.834999,67.353676,30553600
9/14/2018,68.747498,69.775002,68.375,69.107498,68.617134,38693600
9/17/2018,68.849998,69.345001,68.287498,68.482498,67.996582,20552800
9/18/2018,68.522499,69.559998,67.6875,67.754997,67.274239,29952000
9/19/2018,67.567497,68.175003,67.0625,67.995003,67.512535,22486000
9/20/2018,66.762497,67.190002,66.025002,66.57,66.097649,43058400
9/21/2018,66.690002,67.150002,65.527496,65.862503,65.395172,43512800
9/24/2018,65.550003,66.459999,64.669998,66.425003,65.953682,29391200
9/25/2018,67.092499,67.355003,66.227501,67.102501,66.626358,28038800
9/26/2018,67.152496,67.559998,66.57,66.730003,66.256508,26854800
9/27/2018,67.084999,67.300003,66.532501,66.849998,66.375664,21442800
9/28/2018,68.182503,70.480003,67.900002,70.254997,69.756508,70939600
10/1/2018,71.040001,73.014999,70.650002,72.339996,71.826691,62206000
10/2/2018,72.0625,73.190002,71.394997,71.620003,71.111816,38396400
10/3/2018,72.330002,72.404999,70.6325,71.682503,71.173866,32055200
10/4/2018,71.317497,71.5625,69.044998,69.822502,69.327072,39122000
10/5/2018,69.572502,70.199997,66.885002,67.464996,66.986298,42663600
10/8/2018,66.625,67.790001,65.019997,66.442497,65.971046,40861200
10/9/2018,66.235001,67.190002,65.699997,66.385002,65.913956,27350000
10/10/2018,65.315002,65.777496,61.400002,61.422501,60.986679,68494000
